Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,YearBuilt,YearRemodAdd,Foundation,BsmtExposure,TotalBsmtSF,Heating,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,RL,65,8450,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2003,2003,PConc,No,856,GasA,Y,SBrkr,1710,1,0,2,1,3,1,8,Typ,0,Attchd,2003,2,548,Y,0,61,0,0,0,0,NA,0,2,2008,WD,Normal,208500
2,RL,80,9600,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,1976,1976,CBlock,Gd,1262,GasA,Y,SBrkr,1262,0,1,2,0,3,1,6,Typ,1,Attchd,1976,2,460,Y,298,0,0,0,0,0,NA,0,5,2007,WD,Normal,181500
3,RL,68,11250,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,2001,2002,PConc,Mn,920,GasA,Y,SBrkr,1786,1,0,2,1,3,1,6,Typ,1,Attchd,2001,2,608,Y,0,42,0,0,0,0,NA,0,9,2008,WD,Normal,223500
4,RL,60,9550,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,1915,1970,BrkTil,No,756,GasA,Y,SBrkr,1717,1,0,1,0,3,1,7,Typ,1,Detchd,1998,3,642,Y,0,35,272,0,0,0,NA,0,2,2006,WD,Abnorml,140000
5,RL,84,14260,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,2000,2000,PConc,Av,1145,GasA,Y,SBrkr,2198,1,0,2,1,4,1,9,Typ,1,Attchd,2000,3,836,Y,192,84,0,0,0,0,NA,0,12,2008,WD,Normal,250000
6,RL,85,14115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,1993,1995,Wood,No,796,GasA,Y,SBrkr,1362,1,0,1,1,1,1,5,Typ,0,Attchd,1993,2,480,Y,40,30,0,320,0,0,Shed,700,10,2009,WD,Normal,143000
7,RL,75,10084,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,2004,2005,PConc,Av,1686,GasA,Y,SBrkr,1694,1,0,2,0,3,1,7,Typ,1,Attchd,2004,2,636,Y,255,57,0,0,0,0,NA,0,8,2007,WD,Normal,307000
8,RL,NA,10382,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,1973,1973,CBlock,Mn,1107,GasA,Y,SBrkr,2090,1,0,2,1,3,1,7,Typ,2,Attchd,1973,2,484,Y,235,204,228,0,0,0,Shed,350,11,2009,WD,Normal,200000
9,RM,51,6120,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,1931,1950,BrkTil,No,952,GasA,Y,FuseF,1774,0,0,2,0,2,2,8,Min1,2,Detchd,1931,2,468,Y,90,0,205,0,0,0,NA,0,4,2008,WD,Abnorml,129900
10,RL,50,7420,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,1939,1950,BrkTil,No,991,GasA,Y,SBrkr,1077,1,0,1,0,2,2,5,Typ,2,Attchd,1939,1,205,Y,0,4,0,0,0,0,NA,0,1,2008,WD,Normal,118000
